,Name,Ticker / Market Capitalization,Project Stage,Commodity,Location,Website
0,Abcourt Mines Inc,TSXV: ABI - $26M (CAD),"Development, Exploration, Production",Gold,Canada,https://abcourt.info/
1,Aben Minerals Ltd.,TSXV: ABM,Exploration,Gold,Canada,https://abenminerals.com/
2,Aftermath Silver,TSXV: AAG,Exploration,Silver,"Chile, Peru",https://aftermathsilver.com/
3,Amex Exploration,TSXV: AMX - $171M (CAD),Exploration,Gold,"Quebec, Canada",https://www.amexexploration.com/
4,Anglo American,LSE: AAL - $289M (GBP),"Production, Exploration, Development","Diamond, Nickel, Copper, Platinum",,https://www.angloamerican.com/
5,ARIAB Mining Company,Private,"Exploration, Production","Gold, Nickel","Sudan, Africa",https://ariabmining.net/
6,Asante Gold Corporation,CSE: ASE - $476M (CAD),Production,Gold,Ghana,https://asantegold.com/
7,Aspire Limited,ASX: AKM,"Development, Exploration",Coking Coal,Mongolia,https://aspirelimited.com/
8,Aston Bay Holdings Ltd,TSXV: BAY - $27M (CAD),Exploration,"Gold, Copper",North America,https://astonbayholdings.com/
9,Atha Energy Corp.,FRA: X5U - $141M (EUR),Exploration,Uranium,Canada,https://athaenergy.com/
10,Athena Gold Corp,OTC: AHNR,Exploration,Gold,USA,https://athenagoldcorp.com/
11,Australian Strategic Materials Ltd,ASX: ASM - $149M (AUD),Development,"Rare Earth Metals, Niobium, Zircon , Hafnium","Dubbo, NSW, Australia",https://asm-au.com/
12,Awalé Resources,TSXV: ARIC - $47M (CAD),Exploration,Gold,Cote d’Ivoire,https://awaleresources.ca/
13,Barrick Gold Corporation,NYSE: GOLD - $31803M (USD),Production,"Gold, Copper",Canada,https://www.barrick.com/English/home/default.aspx
14,Baselode Energy Corp.,TSXV: FIND - $32M (CAD),Exploration,Uranium,"Saskatchewan, Canada",https://baselode.com/
15,Basin Energy Limited,ASX: BSN - $6M (AUD),Exploration,Uranium,Canada,https://basinenergy.com.au/
16,BHP,ASX: BHP - $220915M (AUD),"Development, Production","Copper, Iron Ore, Nickel, Coking Coal, Potash","Canada, Chile, Peru, United States, Colombia, Brazil. Australia",https://www.bhp.com/
